date,val
750102,0
750103,1123
750105,208
750106,707
750107,145
750108,0
750109,0
750110,1428
750111,0
750112,1328
750113,539
750114,208
750115,208
750116,411
750117,117
750118,513
750119,513
750120,952
750121,515
750122,0
750123,895
750124,675
750125,160
750126,133
750127,513
750128,513
750130,0
750202,1477
750203,2037
750204,2188
750205,2064
750206,1972
750207,1273
750208,513
750209,1123
750211,2647
750212,1443
750214,0
750215,1123
750217,1732
750218,2037
750220,1407
750221,2647
750223,513
750224,687
750225,906
750226,1446
750227,2962
750228,208
750301,1495
750302,1698
750303,2415
750304,3561
750306,2037
750307,2647
750308,1428
750310,2037
750311,2037
750312,1301
750313,1123
750316,1398
750317,3523
750318,2342
750319,1631
750320,1469
750321,3646
750322,3256
750323,2952
750324,2204
750326,4476
750327,130
750328,2158
750401,3866
750402,1123
750403,1582
750405,4476
750406,3392
750407,3559
750408,2037
750410,3256
750412,513
750413,208
750414,0
750415,2647
750416,3789
750417,3256
750419,2647
750420,1670
750422,3256
750423,4110
750424,3604
750425,2480
750426,3729
750427,2788
750428,3256
750501,3256
750503,4535
750504,3256
750505,5131
750506,3787
750507,3960
750508,3256
750509,4476
750510,3561
750511,4544
750513,4573
750514,3256
750516,4476
750517,3561
750520,4246
750521,4080
750522,3256
750523,0
750524,3752
750525,2758
750526,0
750527,4624
750528,0
750530,818
750531,2037
750601,3561
750602,3866
750603,0
750604,5180
750605,5122
750606,3365
750608,3256
750609,2647
750610,4695
750611,3256
750614,5443
750615,4493
750616,4486
750617,1123
750618,4476
750619,4682
750622,4180
750623,3913
750625,4476
750627,3256
750628,5670
750629,5390
750703,208
750704,2939
750705,3754
750706,0
750709,2037
750711,242
750712,208
750713,1532
750714,1123
750715,3256
750717,1428
750718,818
750719,3556
750720,0
750721,3359
750722,2835
750723,3256
750724,4476
750725,2647
750725,2647
750726,2647
750727,3327
750728,2647
750729,3953
750730,1532
750731,3440
750802,4171
750803,3842
750805,1123
750806,162
750807,4175
750809,4476
750810,3607
750813,0
750814,208
750815,3256
750816,3256
750817,4290
750818,2309
750819,2599
750820,3889
750821,2280
750822,1732
750823,1574
